Name,Alternating,PD,Positive,HOMFLY
11a_353,Y,[[8;2;9;1];[16;6;17;5];[22;10;1;9];[10;20;11;19];[12;4;13;3];[4;12;5;11];[14;22;15;21];[20;14;21;13];[18;8;19;7];[2;16;3;15];[6;18;7;17]],Y,(4*v^8-2*v^10-v^12)+ (2*v^6+ 14*v^8-3*v^10-2*v^12)*z^2+ (3*v^6+ 12*v^8+ v^10-v^12)*z^4+ (v^6+ 3*v^8+ v^10)*z^6
11a_354,Y,[[8;2;9;1];[12;4;13;3];[18;12;19;11];[10;20;11;19];[20;8;21;7];[22;14;1;13];[14;22;15;21];[2;10;3;9];[4;18;5;17];[16;6;17;5];[6;16;7;15]],Y,(5*v^8-4*v^10)+ (v^4+ 4*v^6+ 8*v^8-2*v^10-v^12)*z^2+ (v^4+ 3*v^6+ 4*v^8+ v^10)*z^4
11a_355,Y,[[8;2;9;1];[14;4;15;3];[20;10;21;9];[22;12;1;11];[10;22;11;21];[12;20;13;19];[16;6;17;5];[18;8;19;7];[2;14;3;13];[4;16;5;15];[6;18;7;17]],Y,(2*v^8+ 2*v^10-3*v^12)+ (13*v^8+ 7*v^10-7*v^12)*z^2+ (16*v^8+ 11*v^10-5*v^12)*z^4+ (7*v^8+ 6*v^10-v^12)*z^6+ (v^8+ v^10)*z^8
11a_356,Y,[[8;2;9;1];[14;4;15;3];[20;10;21;9];[22;12;1;11];[10;22;11;21];[12;20;13;19];[18;8;19;7];[2;14;3;13];[4;18;5;17];[16;6;17;5];[6;16;7;15]],Y,(3*v^8-2*v^12)+ (4*v^6+ 9*v^8+ 2*v^10-3*v^12)*z^2+ (4*v^6+ 8*v^8+ 3*v^10-v^12)*z^4+ (v^6+ 2*v^8+ v^10)*z^6
11a_357,Y,[[8;2;9;1];[18;8;19;7];[20;10;21;9];[22;12;1;11];[10;22;11;21];[12;20;13;19];[2;18;3;17];[16;6;17;5];[14;4;15;3];[4;16;5;15];[6;14;7;13]],Y,(4*v^8-2*v^10-v^12)+ (4*v^6+ 10*v^8-v^10-2*v^12)*z^2+ (4*v^6+ 8*v^8+ 2*v^10-v^12)*z^4+ (v^6+ 2*v^8+ v^10)*z^6
11a_358,Y,[[8;2;9;1];[14;4;15;3];[22;10;1;9];[20;12;21;11];[12;20;13;19];[10;22;11;21];[16;6;17;5];[18;8;19;7];[2;14;3;13];[4;16;5;15];[6;18;7;17]],Y,(v^6+ 3*v^10-3*v^12)+ (6*v^6+ 3*v^8+ 7*v^10-4*v^12)*z^2+ (5*v^6+ 4*v^8+ 5*v^10-v^12)*z^4+ (v^6+ v^8+ v^10)*z^6
11a_359,Y,[[8;2;9;1];[14;4;15;3];[22;10;1;9];[20;12;21;11];[12;20;13;19];[10;22;11;21];[18;8;19;7];[2;14;3;13];[4;18;5;17];[16;6;17;5];[6;16;7;15]],Y,(v^6+ v^8+ v^10-2*v^12)+ (2*v^4+ 4*v^6+ 4*v^8+ 2*v^10-v^12)*z^2+ (v^4+ 2*v^6+ 2*v^8+ v^10)*z^4
11a_360,Y,[[8;2;9;1];[18;8;19;7];[22;10;1;9];[20;12;21;11];[12;20;13;19];[10;22;11;21];[2;18;3;17];[16;6;17;5];[14;4;15;3];[4;16;5;15];[6;14;7;13]],Y,(v^6+ 2*v^8-v^10-v^12)+ (2*v^4+ 4*v^6+ 4*v^8+ v^10-v^12)*z^2+ (v^4+ 2*v^6+ 2*v^8+ v^10)*z^4
11a_361,Y,[[8;2;9;1];[16;8;17;7];[18;6;19;5];[20;10;21;9];[22;12;1;11];[10;22;11;21];[6;18;7;17];[12;20;13;19];[2;16;3;15];[14;4;15;3];[4;14;5;13]],Y,(4*v^8-2*v^10-v^12)+ (2*v^4+ 3*v^6+ 7*v^8-v^12)*z^2+ (v^4+ 2*v^6+ 3*v^8+ v^10)*z^4
11a_362,Y,[[8;2;9;1];[16;8;17;7];[18;6;19;5];[22;10;1;9];[20;12;21;11];[6;18;7;17];[12;20;13;19];[10;22;11;21];[2;16;3;15];[14;4;15;3];[4;14;5;13]],Y,(v^6+ 2*v^8-v^10-v^12)+ (v^2+ 2*v^4+ 3*v^6+ 3*v^8+ v^10)*z^2
11a_363,Y,[[8;2;9;1];[18;8;19;7];[22;10;1;9];[20;12;21;11];[12;20;13;19];[10;22;11;21];[2;18;3;17];[16;4;17;3];[14;6;15;5];[6;14;7;13];[4;16;5;15]],Y,(2*v^6-v^12)+ (v^2+ 2*v^4+ 3*v^6+ 2*v^8+ v^10)*z^2
11a_364,Y,[[10;2;11;1];[14;4;15;3];[22;12;1;11];[12;22;13;21];[16;6;17;5];[18;8;19;7];[20;10;21;9];[2;14;3;13];[4;16;5;15];[6;18;7;17];[8;20;9;19]],Y,(v^8+ 4*v^10-4*v^12)+ (10*v^8+ 14*v^10-10*v^12)*z^2+ (15*v^8+ 16*v^10-6*v^12)*z^4+ (7*v^8+ 7*v^10-v^12)*z^6+ (v^8+ v^10)*z^8
11a_365,Y,[[10;2;11;1];[14;4;15;3];[22;12;1;11];[12;22;13;21];[16;6;17;5];[20;10;21;9];[2;14;3;13];[4;16;5;15];[6;20;7;19];[18;8;19;7];[8;18;9;17]],Y,(2*v^8+ 2*v^10-3*v^12)+ (3*v^6+ 10*v^8+ 4*v^10-4*v^12)*z^2+ (4*v^6+ 9*v^8+ 4*v^10-v^12)*z^4+ (v^6+ 2*v^8+ v^10)*z^6
11a_366,Y,[[10;2;11;1];[16;6;17;5];[22;12;1;11];[12;22;13;21];[20;10;21;9];[2;16;3;15];[14;4;15;3];[4;14;5;13];[6;20;7;19];[18;8;19;7];[8;18;9;17]],Y,(3*v^8-2*v^12)+ (v^4+ 5*v^6+ 6*v^8+ v^10-v^12)*z^2+ (v^4+ 3*v^6+ 3*v^8+ v^10)*z^4
11a_367,Y,[[12;2;13;1];[14;4;15;3];[16;6;17;5];[18;8;19;7];[20;10;21;9];[22;12;1;11];[2;14;3;13];[4;16;5;15];[6;18;7;17];[8;20;9;19];[10;22;11;21]],Y,(6*v^10-5*v^12)+ (35*v^10-20*v^12)*z^2+ (56*v^10-21*v^12)*z^4+ (36*v^10-8*v^12)*z^6+ (10*v^10-v^12)*z^8+ v^10*z^10
12a_43,Y,[[1;5;2;4];[3;9;4;8];[5;13;6;12];[7;3;8;2];[9;17;10;16];[11;7;12;6];[13;19;14;18];[15;23;16;22];[17;11;18;10];[19;1;20;24];[21;15;22;14];[23;21;24;20]],Y,(v^6+ 4*v^8-4*v^10-v^12+ v^14)+ (3*v^6+ 11*v^8-3*v^10-5*v^12+ v^14)*z^2+ (3*v^6+ 10*v^8+ 3*v^10-3*v^12)*z^4+ (v^6+ 3*v^8+ 2*v^10)*z^6
12a_52,Y,[[1;5;2;4];[3;9;4;8];[5;13;6;12];[7;3;8;2];[9;19;10;18];[11;7;12;6];[13;21;14;20];[15;23;16;22];[17;1;18;24];[19;11;20;10];[21;15;22;14];[23;17;24;16]],Y,(3*v^8+ 3*v^10-8*v^12+ 3*v^14)+ (10*v^8+ 16*v^10-21*v^12+ 4*v^14)*z^2+ (12*v^8+ 23*v^10-15*v^12+ v^14)*z^4+ (6*v^8+ 12*v^10-3*v^12)*z^6+ (v^8+ 2*v^10)*z^8
12a_53,Y,[[1;5;2;4];[3;9;4;8];[5;13;6;12];[7;3;8;2];[9;19;10;18];[11;7;12;6];[13;21;14;20];[15;23;16;22];[17;1;18;24];[19;11;20;10];[21;17;22;16];[23;15;24;14]],Y,(v^6+ 2*v^8+ v^10-5*v^12+ 2*v^14)+ (3*v^6+ 9*v^8+ 3*v^10-8*v^12+ v^14)*z^2+ (3*v^6+ 10*v^8+ 5*v^10-3*v^12)*z^4+ (v^6+ 3*v^8+ 2*v^10)*z^6
12a_55,Y,[[1;5;2;4];[3;9;4;8];[5;13;6;12];[7;3;8;2];[9;19;10;18];[11;7;12;6];[13;23;14;22];[15;1;16;24];[17;21;18;20];[19;11;20;10];[21;17;22;16];[23;15;24;14]],Y,(2*v^6+ v^8-v^10-2*v^12+ v^14)+ (5*v^6+ 5*v^8+ 2*v^10-6*v^12+ v^14)*z^2+ (4*v^6+ 6*v^8+ 5*v^10-3*v^12)*z^4+ (v^6+ 2*v^8+ 2*v^10)*z^6
12a_56,Y,[[1;5;2;4];[3;9;4;8];[5;13;6;12];[7;3;8;2];[9;19;10;18];[11;7;12;6];[13;1;14;24];[15;23;16;22];[17;21;18;20];[19;11;20;10];[21;17;22;16];[23;15;24;14]],Y,(v^4+ v^6-v^8+ 2*v^10-3*v^12+ v^14)+ (2*v^4+ 3*v^6+ v^8+ 3*v^10-3*v^12)*z^2+ (v^4+ 2*v^6+ 2*v^8+ 2*v^10)*z^4
12a_82,Y,[[1;5;2;4];[3;9;4;8];[5;15;6;14];[7;3;8;2];[9;17;10;16];[11;21;12;20];[13;7;14;6];[15;1;16;24];[17;11;18;10];[19;23;20;22];[21;13;22;12];[23;19;24;18]],Y,(v^6+ 3*v^8-2*v^10-2*v^12+ v^14)+ (3*v^6+ 10*v^8-6*v^12+ v^14)*z^2+ (3*v^6+ 10*v^8+ 4*v^10-3*v^12)*z^4+ (v^6+ 3*v^8+ 2*v^10)*z^6
12a_93,Y,[[1;5;2;4];[3;9;4;8];[5;15;6;14];[7;3;8;2];[9;19;10;18];[11;21;12;20];[13;7;14;6];[15;23;16;22];[17;1;18;24];[19;11;20;10];[21;13;22;12];[23;17;24;16]],Y,(2*v^8+ 5*v^10-9*v^12+ 3*v^14)+ (9*v^8+ 19*v^10-22*v^12+ 4*v^14)*z^2+ (12*v^8+ 24*v^10-15*v^12+ v^14)*z^4+ (6*v^8+ 12*v^10-3*v^12)*z^6+ (v^8+ 2*v^10)*z^8
12a_94,Y,[[1;5;2;4];[3;9;4;8];[5;15;6;14];[7;3;8;2];[9;19;10;18];[11;21;12;20];[13;7;14;6];[15;23;16;22];[17;1;18;24];[19;13;20;12];[21;11;22;10];[23;17;24;16]],Y,(4*v^8-5*v^12+ 2*v^14)+ (2*v^6+ 12*v^8+ 2*v^10-8*v^12+ v^14)*z^2+ (3*v^6+ 11*v^8+ 5*v^10-3*v^12)*z^4+ (v^6+ 3*v^8+ 2*v^10)*z^6
12a_96,Y,[[1;5;2;4];[3;9;4;8];[5;15;6;14];[7;3;8;2];[9;19;10;18];[11;21;12;20];[13;7;14;6];[15;1;16;24];[17;23;18;22];[19;11;20;10];[21;13;22;12];[23;17;24;16]],Y,(v^6+ v^8+ 3*v^10-6*v^12+ 2*v^14)+ (4*v^6+ 6*v^8+ 7*v^10-9*v^12+ v^14)*z^2+ (4*v^6+ 7*v^8+ 7*v^10-3*v^12)*z^4+ (v^6+ 2*v^8+ 2*v^10)*z^6
12a_97,Y,[[1;5;2;4];[3;9;4;8];[5;15;6;14];[7;3;8;2];[9;19;10;18];[11;21;12;20];[13;7;14;6];[15;1;16;24];[17;23;18;22];[19;13;20;12];[21;11;22;10];[23;17;24;16]],Y,(v^6+ 3*v^8-2*v^10-2*v^12+ v^14)+ (v^4+ 4*v^6+ 6*v^8-3*v^12)*z^2+ (v^4+ 3*v^6+ 4*v^8+ 2*v^10)*z^4
12a_102,Y,[[1;5;2;4];[3;9;4;8];[5;15;6;14];[7;3;8;2];[9;19;10;18];[11;23;12;22];[13;7;14;6];[15;21;16;20];[17;1;18;24];[19;13;20;12];[21;17;22;16];[23;11;24;10]],Y,(6*v^8-5*v^10-v^12+ v^14)+ (v^6+ 16*v^8-5*v^10-5*v^12+ v^14)*z^2+ (2*v^6+ 14*v^8+ 2*v^10-3*v^12)*z^4+ (v^6+ 4*v^8+ 2*v^10)*z^6
12a_107,Y,[[1;5;2;4];[3;9;4;8];[5;15;6;14];[7;3;8;2];[9;21;10;20];[11;17;12;16];[13;7;14;6];[15;23;16;22];[17;11;18;10];[19;1;20;24];[21;13;22;12];[23;19;24;18]],Y,(6*v^8-5*v^10-v^12+ v^14)+ (v^6+ 16*v^8-5*v^10-5*v^12+ v^14)*z^2+ (2*v^6+ 14*v^8+ 2*v^10-3*v^12)*z^4+ (v^6+ 4*v^8+ 2*v^10)*z^6
12a_143,Y,[[1;5;2;4];[3;9;4;8];[5;17;6;16];[7;3;8;2];[9;19;10;18];[11;21;12;20];[13;23;14;22];[15;7;16;6];[17;1;18;24];[19;11;20;10];[21;13;22;12];[23;15;24;14]],Y,(v^8+ 7*v^10-10*v^12+ 3*v^14)+ (7*v^8+ 24*v^10-24*v^12+ 4*v^14)*z^2+ (11*v^8+ 28*v^10-16*v^12+ v^14)*z^4+ (6*v^8+ 13*v^10-3*v^12)*z^6+ (v^8+ 2*v^10)*z^8
12a_144,Y,[[1;5;2;4];[3;9;4;8];[5;17;6;16];[7;3;8;2];[9;19;10;18];[11;21;12;20];[13;23;14;22];[15;7;16;6];[17;1;18;24];[19;11;20;10];[21;15;22;14];[23;13;24;12]],Y,(3*v^8+ 2*v^10-6*v^12+ 2*v^14)+ (2*v^6+ 11*v^8+ 5*v^10-9*v^12+ v^14)*z^2+ (3*v^6+ 11*v^8+ 6*v^10-3*v^12)*z^4+ (v^6+ 3*v^8+ 2*v^10)*z^6
12a_145,Y,[[1;5;2;4];[3;9;4;8];[5;17;6;16];[7;3;8;2];[9;19;10;18];[11;21;12;20];[13;23;14;22];[15;7;16;6];[17;1;18;24];[19;15;20;14];[21;13;22;12];[23;11;24;10]],Y,(5*v^8-3*v^10-2*v^12+ v^14)+ (2*v^6+ 13*v^8-v^10-6*v^12+ v^14)*z^2+ (3*v^6+ 11*v^8+ 4*v^10-3*v^12)*z^4+ (v^6+ 3*v^8+ 2*v^10)*z^6
12a_152,Y,[[1;5;2;4];[3;9;4;8];[5;17;6;16];[7;3;8;2];[9;19;10;18];[11;23;12;22];[13;21;14;20];[15;7;16;6];[17;1;18;24];[19;15;20;14];[21;13;22;12];[23;11;24;10]],Y,(2*v^6+ v^10-3*v^12+ v^14)+ (v^4+ 5*v^6+ 3*v^8+ 2*v^10-3*v^12)*z^2+ (v^4+ 3*v^6+ 3*v^8+ 2*v^10)*z^4
12a_156,Y,[[1;5;2;4];[3;9;4;8];[5;17;6;16];[7;3;8;2];[9;21;10;20];[11;19;12;18];[13;23;14;22];[15;7;16;6];[17;1;18;24];[19;11;20;10];[21;15;22;14];[23;13;24;12]],Y,(5*v^8-3*v^10-2*v^12+ v^14)+ (v^4+ 3*v^6+ 9*v^8-v^10-3*v^12)*z^2+ (v^4+ 3*v^6+ 5*v^8+ 2*v^10)*z^4
12a_276,Y,[[1;5;2;4];[3;11;4;10];[5;15;6;14];[7;17;8;16];[9;3;10;2];[11;21;12;20];[13;9;14;8];[15;7;16;6];[17;23;18;22];[19;1;20;24];[21;13;22;12];[23;19;24;18]],Y,(4*v^8-5*v^12+ 2*v^14)+ (12*v^8+ 10*v^10-16*v^12+ 3*v^14)*z^2+ (13*v^8+ 19*v^10-13*v^12+ v^14)*z^4+ (6*v^8+ 11*v^10-3*v^12)*z^6+ (v^8+ 2*v^10)*z^8
12a_277,Y,[[1;5;2;4];[3;11;4;10];[5;15;6;14];[7;17;8;16];[9;3;10;2];[11;21;12;20];[13;9;14;8];[15;7;16;6];[17;1;18;24];[19;23;20;22];[21;13;22;12];[23;19;24;18]],Y,(2*v^6+ v^10-3*v^12+ v^14)+ (5*v^6+ 4*v^8+ 5*v^10-7*v^12+ v^14)*z^2+ (4*v^6+ 6*v^8+ 6*v^10-3*v^12)*z^4+ (v^6+ 2*v^8+ 2*v^10)*z^6
12a_293,Y,[[1;5;2;4];[3;11;4;10];[5;15;6;14];[7;19;8;18];[9;3;10;2];[11;21;12;20];[13;9;14;8];[15;1;16;24];[17;7;18;6];[19;23;20;22];[21;13;22;12];[23;17;24;16]],Y,(v^6+ 2*v^8-3*v^12+ v^14)+ (3*v^6+ 8*v^8+ 5*v^10-8*v^12+ v^14)*z^2+ (3*v^6+ 9*v^8+ 8*v^10-4*v^12)*z^4+ (v^6+ 3*v^8+ 3*v^10)*z^6
12a_295,Y,[[1;5;2;4];[3;11;4;10];[5;15;6;14];[7;19;8;18];[9;3;10;2];[11;23;12;22];[13;9;14;8];[15;21;16;20];[17;7;18;6];[19;17;20;16];[21;1;22;24];[23;13;24;12]],Y,(v^6+ 4*v^8-5*v^10+ v^12)+ (3*v^6+ 11*v^8-3*v^10-4*v^12+ v^14)*z^2+ (3*v^6+ 10*v^8+ 3*v^10-3*v^12)*z^4+ (v^6+ 3*v^8+ 2*v^10)*z^6
12a_319,Y,[[1;5;2;4];[3;11;4;10];[5;15;6;14];[7;21;8;20];[9;3;10;2];[11;19;12;18];[13;7;14;6];[15;23;16;22];[17;1;18;24];[19;9;20;8];[21;13;22;12];[23;17;24;16]],Y,(3*v^8+ 2*v^10-6*v^12+ 2*v^14)+ (2*v^6+ 9*v^8+ 9*v^10-11*v^12+ v^14)*z^2+ (3*v^6+ 10*v^8+ 10*v^10-4*v^12)*z^4+ (v^6+ 3*v^8+ 3*v^10)*z^6
12a_320,Y,[[1;5;2;4];[3;11;4;10];[5;15;6;14];[7;21;8;20];[9;3;10;2];[11;19;12;18];[13;7;14;6];[15;1;16;24];[17;23;18;22];[19;9;20;8];[21;13;22;12];[23;17;24;16]],Y,(v^6+ 2*v^8-3*v^12+ v^14)+ (v^4+ 3*v^6+ 7*v^8+ 2*v^10-4*v^12)*z^2+ (v^4+ 3*v^6+ 5*v^8+ 3*v^10)*z^4
12a_344,Y,[[1;5;2;4];[3;11;4;10];[5;17;6;16];[7;13;8;12];[9;3;10;2];[11;9;12;8];[13;21;14;20];[15;7;16;6];[17;23;18;22];[19;1;20;24];[21;15;22;14];[23;19;24;18]],Y,(2*v^6+ 2*v^10-5*v^12+ 2*v^14)+ (5*v^6+ 4*v^8+ 5*v^10-8*v^12+ v^14)*z^2+ (4*v^6+ 6*v^8+ 6*v^10-3*v^12)*z^4+ (v^6+ 2*v^8+ 2*v^10)*z^6
12a_345,Y,[[1;5;2;4];[3;11;4;10];[5;17;6;16];[7;13;8;12];[9;3;10;2];[11;9;12;8];[13;21;14;20];[15;7;16;6];[17;1;18;24];[19;23;20;22];[21;15;22;14];[23;19;24;18]],Y,(v^4+ 2*v^8-v^10-2*v^12+ v^14)+ (2*v^4+ 2*v^6+ 4*v^8+ v^10-3*v^12)*z^2+ (v^4+ 2*v^6+ 3*v^8+ 2*v^10)*z^4
12a_355,Y,[[1;5;2;4];[3;11;4;10];[5;17;6;16];[7;15;8;14];[9;3;10;2];[11;21;12;20];[13;9;14;8];[15;7;16;6];[17;23;18;22];[19;1;20;24];[21;13;22;12];[23;19;24;18]],Y,(2*v^6-v^8+ 4*v^10-6*v^12+ 2*v^14)+ (5*v^6+ 3*v^8+ 8*v^10-9*v^12+ v^14)*z^2+ (4*v^6+ 6*v^8+ 7*v^10-3*v^12)*z^4+ (v^6+ 2*v^8+ 2*v^10)*z^6
12a_356,Y,[[1;5;2;4];[3;11;4;10];[5;17;6;16];[7;15;8;14];[9;3;10;2];[11;21;12;20];[13;9;14;8];[15;7;16;6];[17;1;18;24];[19;23;20;22];[21;13;22;12];[23;19;24;18]],Y,(v^4+ v^8+ v^10-3*v^12+ v^14)+ (2*v^4+ 2*v^6+ 4*v^8+ 2*v^10-3*v^12)*z^2+ (v^4+ 2*v^6+ 3*v^8+ 2*v^10)*z^4
12a_367,Y,[[1;5;2;4];[3;11;4;10];[5;17;6;16];[7;19;8;18];[9;3;10;2];[11;21;12;20];[13;23;14;22];[15;9;16;8];[17;7;18;6];[19;1;20;24];[21;13;22;12];[23;15;24;14]],Y,(2*v^8+ 4*v^10-7*v^12+ 2*v^14)+ (9*v^8+ 18*v^10-19*v^12+ 3*v^14)*z^2+ (12*v^8+ 24*v^10-14*v^12+ v^14)*z^4+ (6*v^8+ 12*v^10-3*v^12)*z^6+ (v^8+ 2*v^10)*z^8
12a_368,Y,[[1;5;2;4];[3;11;4;10];[5;17;6;16];[7;19;8;18];[9;3;10;2];[11;21;12;20];[13;23;14;22];[15;9;16;8];[17;7;18;6];[19;1;20;24];[21;15;22;14];[23;13;24;12]],Y,(4*v^8-v^10-3*v^12+ v^14)+ (2*v^6+ 12*v^8+ 2*v^10-7*v^12+ v^14)*z^2+ (3*v^6+ 11*v^8+ 5*v^10-3*v^12)*z^4+ (v^6+ 3*v^8+ 2*v^10)*z^6
12a_391,Y,[[1;5;2;4];[3;11;4;10];[5;17;6;16];[7;21;8;20];[9;3;10;2];[11;19;12;18];[13;23;14;22];[15;7;16;6];[17;1;18;24];[19;9;20;8];[21;13;22;12];[23;15;24;14]],Y,(2*v^8+ 4*v^10-7*v^12+ 2*v^14)+ (2*v^6+ 9*v^8+ 10*v^10-11*v^12+ v^14)*z^2+ (3*v^6+ 10*v^8+ 10*v^10-4*v^12)*z^4+ (v^6+ 3*v^8+ 3*v^10)*z^6
12a_392,Y,[[1;5;2;4];[3;11;4;10];[5;17;6;16];[7;21;8;20];[9;3;10;2];[11;19;12;18];[13;23;14;22];[15;7;16;6];[17;1;18;24];[19;9;20;8];[21;15;22;14];[23;13;24;12]],Y,(4*v^8-v^10-3*v^12+ v^14)+ (v^4+ 3*v^6+ 8*v^8+ 2*v^10-4*v^12)*z^2+ (v^4+ 3*v^6+ 5*v^8+ 3*v^10)*z^4
12a_420,Y,[[1;5;2;4];[3;11;4;10];[5;19;6;18];[7;13;8;12];[9;3;10;2];[11;9;12;8];[13;21;14;20];[15;23;16;22];[17;7;18;6];[19;1;20;24];[21;15;22;14];[23;17;24;16]],Y,(v^6+ 2*v^8+ v^10-5*v^12+ 2*v^14)+ (4*v^6+ 6*v^8+ 6*v^10-9*v^12+ v^14)*z^2+ (4*v^6+ 7*v^8+ 7*v^10-3*v^12)*z^4+ (v^6+ 2*v^8+ 2*v^10)*z^6
12a_421,Y,[[1;5;2;4];[3;11;4;10];[5;19;6;18];[7;13;8;12];[9;3;10;2];[11;9;12;8];[13;21;14;20];[15;23;16;22];[17;7;18;6];[19;1;20;24];[21;17;22;16];[23;15;24;14]],Y,(2*v^6+ v^8-v^10-2*v^12+ v^14)+ (v^4+ 4*v^6+ 5*v^8-3*v^12)*z^2+ (v^4+ 3*v^6+ 4*v^8+ 2*v^10)*z^4
12a_431,Y,[[1;5;2;4];[3;11;4;10];[5;19;6;18];[7;15;8;14];[9;3;10;2];[11;21;12;20];[13;7;14;6];[15;23;16;22];[17;9;18;8];[19;1;20;24];[21;17;22;16];[23;13;24;12]],Y,(5*v^8-3*v^10-2*v^12+ v^14)+ (v^6+ 14*v^8-7*v^12+ v^14)*z^2+ (2*v^6+ 13*v^8+ 6*v^10-4*v^12)*z^4+ (v^6+ 4*v^8+ 3*v^10)*z^6
12a_432,Y,[[1;5;2;4];[3;11;4;10];[5;19;6;18];[7;15;8;14];[9;3;10;2];[11;21;12;20];[13;9;14;8];[15;23;16;22];[17;7;18;6];[19;1;20;24];[21;13;22;12];[23;17;24;16]],Y,(v^6+ v^8+ 3*v^10-6*v^12+ 2*v^14)+ (3*v^6+ 7*v^8+ 8*v^10-10*v^12+ v^14)*z^2+ (3*v^6+ 9*v^8+ 9*v^10-4*v^12)*z^4+ (v^6+ 3*v^8+ 3*v^10)*z^6
12a_442,Y,[[1;5;2;4];[3;11;4;10];[5;19;6;18];[7;17;8;16];[9;3;10;2];[11;21;12;20];[13;23;14;22];[15;9;16;8];[17;7;18;6];[19;1;20;24];[21;13;22;12];[23;15;24;14]],Y,(v^6+ 5*v^10-7*v^12+ 2*v^14)+ (4*v^6+ 5*v^8+ 10*v^10-10*v^12+ v^14)*z^2+ (4*v^6+ 7*v^8+ 8*v^10-3*v^12)*z^4+ (v^6+ 2*v^8+ 2*v^10)*z^6
12a_443,Y,[[1;5;2;4];[3;11;4;10];[5;19;6;18];[7;17;8;16];[9;3;10;2];[11;21;12;20];[13;23;14;22];[15;9;16;8];[17;7;18;6];[19;1;20;24];[21;15;22;14];[23;13;24;12]],Y,(v^6+ 2*v^8-3*v^12+ v^14)+ (v^4+ 4*v^6+ 6*v^8+ v^10-3*v^12)*z^2+ (v^4+ 3*v^6+ 4*v^8+ 2*v^10)*z^4
12a_490,Y,[[1;5;2;4];[3;11;4;10];[5;23;6;22];[7;15;8;14];[9;3;10;2];[11;19;12;18];[13;9;14;8];[15;21;16;20];[17;1;18;24];[19;13;20;12];[21;7;22;6];[23;17;24;16]],Y,(v^6+ 2*v^8+ v^10-5*v^12+ 2*v^14)+ (3*v^6+ 7*v^8+ 7*v^10-10*v^12+ v^14)*z^2+ (3*v^6+ 9*v^8+ 9*v^10-4*v^12)*z^4+ (v^6+ 3*v^8+ 3*v^10)*z^6
12a_574,Y,[[1;5;2;4];[3;13;4;12];[5;17;6;16];[7;19;8;18];[9;21;10;20];[11;3;12;2];[13;23;14;22];[15;11;16;10];[17;7;18;6];[19;9;20;8];[21;1;22;24];[23;15;24;14]],Y,(3*v^8+ v^10-4*v^12+ v^14)+ (10*v^8+ 15*v^10-17*v^12+ 3*v^14)*z^2+ (12*v^8+ 23*v^10-14*v^12+ v^14)*z^4+ (6*v^8+ 12*v^10-3*v^12)*z^6+ (v^8+ 2*v^10)*z^8
12a_575,Y,[[1;5;2;4];[3;13;4;12];[5;17;6;16];[7;19;8;18];[9;21;10;20];[11;3;12;2];[13;23;14;22];[15;11;16;10];[17;9;18;8];[19;7;20;6];[21;1;22;24];[23;15;24;14]],Y,(v^6+ v^8+ 2*v^10-4*v^12+ v^14)+ (3*v^6+ 9*v^8+ 4*v^10-7*v^12+ v^14)*z^2+ (3*v^6+ 10*v^8+ 5*v^10-3*v^12)*z^4+ (v^6+ 3*v^8+ 2*v^10)*z^6
12a_586,Y,[[1;5;2;4];[3;13;4;12];[5;17;6;16];[7;19;8;18];[9;23;10;22];[11;3;12;2];[13;21;14;20];[15;9;16;8];[17;7;18;6];[19;1;20;24];[21;11;22;10];[23;15;24;14]],Y,(3*v^8+ v^10-4*v^12+ v^14)+ (2*v^6+ 10*v^8+ 7*v^10-9*v^12+ v^14)*z^2+ (3*v^6+ 10*v^8+ 9*v^10-4*v^12)*z^4+ (v^6+ 3*v^8+ 3*v^10)*z^6
12a_610,Y,[[1;5;2;4];[3;13;4;12];[5;17;6;16];[7;23;8;22];[9;21;10;20];[11;3;12;2];[13;19;14;18];[15;7;16;6];[17;1;18;24];[19;11;20;10];[21;9;22;8];[23;15;24;14]],Y,(v^6+ v^8+ 2*v^10-4*v^12+ v^14)+ (v^4+ 4*v^6+ 5*v^8+ 4*v^10-4*v^12)*z^2+ (v^4+ 3*v^6+ 4*v^8+ 3*v^10)*z^4
12a_615,Y,[[1;5;2;4];[3;13;4;12];[5;17;6;16];[7;1;8;24];[9;21;10;20];[11;3;12;2];[13;9;14;8];[15;19;16;18];[17;7;18;6];[19;23;20;22];[21;11;22;10];[23;15;24;14]],Y,(v^6+ 3*v^8-3*v^10)+ (3*v^6+ 9*v^8+ 2*v^10-6*v^12+ v^14)*z^2+ (3*v^6+ 9*v^8+ 7*v^10-4*v^12)*z^4+ (v^6+ 3*v^8+ 3*v^10)*z^6
12a_647,Y,[[1;5;2;4];[3;13;4;12];[5;19;6;18];[7;21;8;20];[9;17;10;16];[11;3;12;2];[13;23;14;22];[15;9;16;8];[17;11;18;10];[19;7;20;6];[21;1;22;24];[23;15;24;14]],Y,(4*v^8-v^10-3*v^12+ v^14)+ (12*v^8+ 10*v^10-15*v^12+ 3*v^14)*z^2+ (13*v^8+ 19*v^10-13*v^12+ v^14)*z^4+ (6*v^8+ 11*v^10-3*v^12)*z^6+ (v^8+ 2*v^10)*z^8
