Name,PD,HOMFLY
9_1,[[1;11;2;10];[3;13;4;12];[5;15;6;14];[7;17;8;16];[9;1;10;18];[11;3;12;2];[13;5;14;4];[15;7;16;6];[17;9;18;8]],(5*v^8-4*v^10)+ (20*v^8-10*v^10)*z^2+ (21*v^8-6*v^10)*z^4+ (8*v^8-v^10)*z^6+ v^8*z^8
9_2,[[2;8;3;7];[4;14;5;13];[6;4;7;3];[8;2;9;1];[10;18;11;17];[12;16;13;15];[14;6;15;5];[16;12;17;11];[18;10;1;9]],(v^2+ v^8-v^10)+ (v^2+ v^4+ v^6+ v^8)*z^2
9_3,[[1;11;2;10];[3;15;4;14];[5;13;6;12];[7;17;8;16];[9;1;10;18];[11;3;12;2];[13;5;14;4];[15;7;16;6];[17;9;18;8]],(v^6+ 3*v^8-3*v^10)+ (6*v^6+ 7*v^8-4*v^10)*z^2+ (5*v^6+ 5*v^8-v^10)*z^4+ (v^6+ v^8)*z^6
9_4,[[2;14;3;13];[4;12;5;11];[6;16;7;15];[8;18;9;17];[10;6;11;5];[12;4;13;3];[14;2;15;1];[16;8;17;7];[18;10;1;9]],(v^4+ 2*v^8-2*v^10)+ (3*v^4+ 2*v^6+ 3*v^8-v^10)*z^2+ (v^4+ v^6+ v^8)*z^4
9_5,[[2;14;3;13];[4;12;5;11];[6;16;7;15];[8;18;9;17];[10;6;11;5];[12;4;13;3];[14;2;15;1];[16;10;17;9];[18;8;1;7]],(v^4+ v^6-v^10)+ (v^2+ 2*v^4+ 2*v^6+ v^8)*z^2
9_6,[[1;13;2;12];[3;7;4;6];[5;15;6;14];[7;3;8;2];[9;17;10;16];[11;1;12;18];[13;5;14;4];[15;9;16;8];[17;11;18;10]],(3*v^6-v^8-v^10)+ (7*v^6+ 3*v^8-3*v^10)*z^2+ (5*v^6+ 4*v^8-v^10)*z^4+ (v^6+ v^8)*z^6
9_7,[[2;10;3;9];[4;12;5;11];[6;16;7;15];[8;6;9;5];[10;4;11;3];[12;2;13;1];[14;18;15;17];[16;8;17;7];[18;14;1;13]],(2*v^4-v^6+ v^8-v^10)+ (3*v^4+ v^6+ 2*v^8-v^10)*z^2+ (v^4+ v^6+ v^8)*z^4
9_8,[[1;16;2;17];[3;14;4;15];[5;11;6;10];[7;1;8;18];[9;13;10;12];[11;7;12;6];[13;4;14;5];[15;2;16;3];[17;9;18;8]],(v^(-2)-1+ 2*v^4-v^6)+ (v^(-2)-2-v^2+ 2*v^4)*z^2+ (-1-v^2)*z^4
9_9,[[1;13;2;12];[3;9;4;8];[5;15;6;14];[7;17;8;16];[9;3;10;2];[11;1;12;18];[13;5;14;4];[15;7;16;6];[17;11;18;10]],(2*v^6+ v^8-2*v^10)+ (7*v^6+ 4*v^8-3*v^10)*z^2+ (5*v^6+ 4*v^8-v^10)*z^4+ (v^6+ v^8)*z^6
9_10,[[1;13;2;12];[3;11;4;10];[5;17;6;16];[7;15;8;14];[9;1;10;18];[11;3;12;2];[13;5;14;4];[15;7;16;6];[17;9;18;8]],(2*v^6+ v^8-2*v^10)+ (2*v^4+ 5*v^6+ 2*v^8-v^10)*z^2+ (v^4+ 2*v^6+ v^8)*z^4
9_11,[[2;7;3;8];[4;13;5;14];[6;15;7;16];[8;12;9;11];[10;17;11;18];[12;3;13;4];[14;5;15;6];[16;2;17;1];[18;9;1;10]],(-2*v^(-8)+ 3*v^(-6)-v^(-4)+ v^(-2))+ (-v^(-8)+ 6*v^(-6)-4*v^(-4)+ 3*v^(-2))*z^2+ (2*v^(-6)-4*v^(-4)+ v^(-2))*z^4+ (-v^(-4))*z^6
9_12,[[2;9;3;10];[4;16;5;15];[6;14;7;13];[8;3;9;4];[10;18;11;17];[12;8;13;7];[14;6;15;5];[16;2;17;1];[18;12;1;11]],(1-v^4+ 2*v^6-v^8)+ (1-v^2-v^4+ 2*v^6)*z^2+ (-v^2-v^4)*z^4
9_13,[[2;12;3;11];[4;14;5;13];[6;16;7;15];[8;18;9;17];[10;6;11;5];[12;4;13;3];[14;2;15;1];[16;10;17;9];[18;8;1;7]],(3*v^6-v^8-v^10)+ (2*v^4+ 5*v^6+ v^8-v^10)*z^2+ (v^4+ 2*v^6+ v^8)*z^4
9_14,[[1;12;2;13];[3;10;4;11];[5;16;6;17];[7;1;8;18];[9;4;10;5];[11;2;12;3];[13;9;14;8];[15;6;16;7];[17;15;18;14]],(v^(-6)-2*v^(-4)+ v^(-2)+ 1)+ (-2*v^(-4)+ v^(-2)+ 1-v^2)*z^2+ (v^(-2)+ 1)*z^4
9_15,[[2;9;3;10];[4;7;5;8];[6;15;7;16];[8;3;9;4];[10;14;11;13];[12;17;13;18];[14;5;15;6];[16;2;17;1];[18;11;1;12]],(-v^(-8)+ v^(-6)+ v^(-4)-v^(-2)+ 1)+ (2*v^(-6)-v^(-2)+ 1)*z^2+ (-v^(-4)-v^(-2))*z^4
9_16,[[1;9;2;8];[3;11;4;10];[5;15;6;14];[7;5;8;4];[9;3;10;2];[11;17;12;16];[13;1;14;18];[15;7;16;6];[17;13;18;12]],(4*v^6-3*v^8)+ (8*v^6-2*v^10)*z^2+ (5*v^6+ 3*v^8-v^10)*z^4+ (v^6+ v^8)*z^6
9_17,[[1;9;2;8];[3;12;4;13];[5;16;6;17];[7;1;8;18];[9;3;10;2];[11;4;12;5];[13;11;14;10];[15;6;16;7];[17;15;18;14]],(2*v^(-2)-3+ 2*v^2)+ (v^(-2)-6+ 5*v^2-2*v^4)*z^2+ (-2+ 4*v^2-v^4)*z^4+ v^2*z^6
9_18,[[2;12;3;11];[4;2;5;1];[6;16;7;15];[8;14;9;13];[10;18;11;17];[12;4;13;3];[14;8;15;7];[16;10;17;9];[18;6;1;5]],(v^4+ v^6-v^10)+ (2*v^4+ 4*v^6+ v^8-v^10)*z^2+ (v^4+ 2*v^6+ v^8)*z^4
9_19,[[2;14;3;13];[4;11;5;12];[6;4;7;3];[8;17;9;18];[10;5;11;6];[12;8;13;7];[14;2;15;1];[16;9;17;10];[18;16;1;15]],(v^(-4)-v^(-2)+ v^2)+ (-2*v^(-2)+ v^2-v^4)*z^2+ (1+ v^2)*z^4
9_20,[[1;11;2;10];[3;16;4;17];[5;13;6;12];[7;3;8;2];[9;1;10;18];[11;15;12;14];[13;7;14;6];[15;4;16;5];[17;9;18;8]],(2*v^2-2*v^4+ 2*v^6-v^8)+ (3*v^2-5*v^4+ 5*v^6-v^8)*z^2+ (v^2-4*v^4+ 2*v^6)*z^4-v^4*z^6
9_21,[[2;7;3;8];[4;13;5;14];[6;15;7;16];[8;12;9;11];[10;17;11;18];[12;5;13;6];[14;3;15;4];[16;2;17;1];[18;9;1;10]],(-v^(-8)+ v^(-6)+ v^(-2))+ (2*v^(-6)+ 1)*z^2+ (-v^(-4)-v^(-2))*z^4
9_22,[[1;7;2;6];[3;8;4;9];[5;14;6;15];[7;11;8;10];[9;2;10;3];[11;17;12;16];[13;1;14;18];[15;4;16;5];[17;13;18;12]],(2*v^(-2)-4+ 4*v^2-v^4)+ (v^(-2)-6+ 6*v^2-2*v^4)*z^2+ (-2+ 4*v^2-v^4)*z^4+ v^2*z^6
9_23,[[2;16;3;15];[4;12;5;11];[6;4;7;3];[8;18;9;17];[10;14;11;13];[12;6;13;5];[14;8;15;7];[16;2;17;1];[18;10;1;9]],(v^4+ 2*v^6-2*v^8)+ (2*v^4+ 4*v^6-v^10)*z^2+ (v^4+ 2*v^6+ v^8)*z^4
9_24,[[1;13;2;12];[3;7;4;6];[5;1;6;18];[7;14;8;15];[9;16;10;17];[11;3;12;2];[13;10;14;11];[15;8;16;9];[17;5;18;4]],(v^(-2)-3+ 5*v^2-2*v^4)+ (2*v^(-2)-6+ 6*v^2-v^4)*z^2+ (v^(-2)-4+ 2*v^2)*z^4-z^6
9_25,[[2;10;3;9];[4;17;5;18];[6;12;7;11];[8;4;9;3];[10;14;11;13];[12;8;13;7];[14;2;15;1];[16;5;17;6];[18;16;1;15]],(1+ v^2-3*v^4+ 3*v^6-v^8)+ (1-4*v^4+ 3*v^6)*z^2+ (-v^2-2*v^4)*z^4
9_26,[[2;10;3;9];[4;11;5;12];[6;17;7;18];[8;15;9;16];[10;14;11;13];[12;3;13;4];[14;2;15;1];[16;5;17;6];[18;7;1;8]],(v^(-6)-3*v^(-4)+ 3*v^(-2))+ (v^(-6)-5*v^(-4)+ 6*v^(-2)-2)*z^2+ (-2*v^(-4)+ 4*v^(-2)-1)*z^4+ (v^(-2))*z^6
9_27,[[2;9;3;10];[4;7;5;8];[6;14;7;13];[8;15;9;16];[10;18;11;17];[12;3;13;4];[14;6;15;5];[16;2;17;1];[18;12;1;11]],(v^(-2)-2+ 3*v^2-v^4)+ (2*v^(-2)-6+ 5*v^2-v^4)*z^2+ (v^(-2)-4+ 2*v^2)*z^4-z^6
9_28,[[1;16;2;17];[3;15;4;14];[5;3;6;2];[7;13;8;12];[9;7;10;6];[11;18;12;1];[13;9;14;8];[15;5;16;4];[17;10;18;11]],(-1+ 5*v^2-4*v^4+ v^6)+ (-2+ 7*v^2-5*v^4+ v^6)*z^2+ (-1+ 4*v^2-2*v^4)*z^4+ v^2*z^6
9_29,[[2;10;3;9];[4;17;5;18];[6;12;7;11];[8;4;9;3];[10;15;11;16];[12;6;13;5];[14;1;15;2];[16;7;17;8];[18;13;1;14]],(-2*v^(-4)+ 5*v^(-2)-3+ v^2)+ (-2*v^(-4)+ 7*v^(-2)-5+ v^2)*z^2+ (-v^(-4)+ 4*v^(-2)-2)*z^4+ (v^(-2))*z^6
9_30,[[1;9;2;8];[3;16;4;17];[5;1;6;18];[7;12;8;13];[9;3;10;2];[11;6;12;7];[13;10;14;11];[15;4;16;5];[17;15;18;14]],(-v^(-4)+ 4*v^(-2)-4+ 2*v^2)+ (-v^(-4)+ 5*v^(-2)-7+ 2*v^2)*z^2+ (2*v^(-2)-4+ v^2)*z^4-z^6
9_31,[[1;9;2;8];[3;10;4;11];[5;13;6;12];[7;1;8;18];[9;16;10;17];[11;15;12;14];[13;7;14;6];[15;4;16;5];[17;3;18;2]],(-1+ 4*v^2-2*v^4)+ (-2+ 7*v^2-4*v^4+ v^6)*z^2+ (-1+ 4*v^2-2*v^4)*z^4+ v^2*z^6
9_32,[[2;8;3;7];[4;9;5;10];[6;13;7;14];[8;16;9;15];[10;5;11;6];[12;17;13;18];[14;3;15;4];[16;2;17;1];[18;11;1;12]],(v^(-6)-2*v^(-4)+ v^(-2)+ 1)+ (v^(-6)-4*v^(-4)+ 3*v^(-2)-1)*z^2+ (-2*v^(-4)+ 3*v^(-2)-1)*z^4+ (v^(-2))*z^6
9_33,[[1;15;2;14];[3;16;4;17];[5;12;6;13];[7;5;8;4];[9;2;10;3];[11;6;12;7];[13;1;14;18];[15;11;16;10];[17;8;18;9]],(-v^(-4)+ 2*v^(-2))+ (-v^(-4)+ 4*v^(-2)-3+ v^2)*z^2+ (2*v^(-2)-3+ v^2)*z^4-z^6
